,Ulasan,label
46,respon sih cepat satu hari langsung tapi kirim nya lama hampir 4 hari baranh sesuai harga seller kadang ga jawab tanya tolong tingkat lagi tapi barang bagus lah sesuai harga meski yang kelupas sedikit,0
47,sangat mengecwakan pesan 2 sepatu yg kirim 1 sepatu wa dintelfon mah mau bls dangkat udah gitu kualitas sepatu jelek jamin bakal kecewa beli sini,0
48,barang terima kualitas kurang muas,0
49,puas,0
50,produk sesuai gambar,0
51,terima kasih aja proses lama,0
52,pesan 3 patah 2  packing kurang aman,0
53,seller ok packing rapi kirim cepat ga masalah cuman produk kurang sesuai ekspektasi dinding kurang kokoh terlalu lentur pasang kurang simple terima kasih btw,0
54,terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih,0
55,kecewa inti aku sangat kecewa ,0
56,ukur kecil next buat lain lebihin 1 ukur sepatu biasa kalian pakai,0
57,biar bintang bicara,0
58,saya kecewa sistem kerja kirim jasa kirim nya sedia jasa yes yakin esok sampai sama kirim reguler bukan salah kurir salah seller yg segera mungkin tindak yg harus prioritas barang yg harus satu hari  jadi 2 hari entah sengaja apa sistem buruk saya selamat 28rb jasa yes nya claim karna tidak hasil kirim 1 hari paket nya lumayan buat tambah2 omset itu memang di sengaja selamat anda hasil buat kacau yg cukup sedih buat saya tp tidak moga depan lebih baik lagi maaf ini alam buruk,0
59,barang standar sesuai dngan harga nya,0
60,nyata sablon aj logo,0
61,bahan tipis sekali moga kuat sj,0
62,barang kirim sangat cepat komunikasi baik barang tahan lama lebih baik pakai dalam,0
63,terlalu lama mulai tanggal 14 baru sampai tanggal 30 hampir tengah bulan,0
64,puas rugi kualitas barang terima sangat buruk,0
65,ukur yg kirim sesuai malah ukur yg minta tulis ulang,0
66,model pesan sesuai kualitas barang yg tampil barang yg terima jauh sekali kasar sekali,0
67,kurang bagus gak kena klip jadi gak kencang,0
68,seperti salah kirim  pesan size pria chat 34 c 13 c 22 ga cukup buat sneaker  mau kembali gimanaaa ongkornya mahal lo iniiii,0
69,tali sepatu belang tidak suka tidak sesuai pesan nmr 42 kirim nmr 40,0
70,barang si oke pesan navy size 42 yg kirim hitam size 41  packing nya rapih ,0
71,barang terima hanya kecewa kirim yg lama,0
72,ngak tali warna kurang sesuai,0
73,lem nya kurang rapih enteng banget,0
74, not bagus quality not even close,0
75,speaker jelas jadi bisa pakai,0
76,paket sdh sampai kecewa  pantesan aja murah bkn samsung asli,0
77,beli 2 biji 2-2 patah tmpt yg sama bagi temu per suction,0
78,barang sesuai deskripsi tidak bs tempel pd interior mobil yg gelombang kualitas plastik jg ragu,0
79,pikir bahan bagus tp sudah wong harga ga mahal klu kawan2 punya selera yg lebih sy saran utk berfikir ambil produk krn memang pas2an maklum harga kualitas,0
80,kualitas barang rendah tp sesuai harga barang datang kondisi kaca pecah,0
81,ball head nya bisa kunci sama sekali,0
82,muas komplain lama respon,0
83,cek dlu bos gerigi tahan nya kok lepas trus yg malah hp nya jatoh,0
84,barang kasar banget tidak sesuqi foto,0
85,kagak pas motor ninja 250 fi sama kagak pas polygon stratos,0
86,kirim barang nya sdh rusak komplain malah ga terima maki amp 34 hina beli,0
87,buat dewasa bukan anak gede,0
88,barang rusak kirim,0
89,warna tdak sma gambar trima kasih,0
90,kait gak kuat gampang goyang jd gampang jatuh jd kasih lem korea buat rekat lg biar ga mudah jatuh,0
91,jual responsif item box lengkap bisa guna not rekomen seller,0
92,kirim terlalu lama no rekomen deh,0
93,sesuai gambar,0
94,hp rusak ga bs dipake sama sekali,0
95,bintang nilai semua,0
96,batteray hp original batteray cepat habis cepat lowbet,0
97,kecewa sama barang yg order tanya warna merah kata ready yg kirim warna hitam,0
98,baterai baru hari udh bau gosong untung ga ledak ,0
99,produk buruk bisa dipake buang tempat sampah casing buka sim bisa baca mending beli produk 2nd produk ini,0
100,cashing gak nempel batre drop apesss,0
101,tombol atas nya ga fungsi,0
102,barang kawe kawe ya barang kurang fungsi ga baca memori gak bluethoot tadi sy pikir asli nyata bukan,0
103,kualitas sesuai merk nya,0
104,barang yg terima bukan original nokia kecewa,0
105,barang rusak semua hp china bener2 payah sesuai harga kualitas jelek maklum lah harga beda 2x lipat yg asli,0
106,batt nya cepet abis bukan nokia yg dahulu,0
107,barang udah sampe kmaren,0
108,beli 2 1 nya gak digunain alias rusak,0
109,tulis 34 supercopy 34 replika baik tulis lebih jelas lagi tambah nama produk jika memang incar beli yg kurang cermat saya p,0
110,suara nya jelek bgd nerima maupun telp baterai jg gak d pake hari habis keypad nya jg susah,0
111,cas gak bs ngisi batre nya cpt habis,0
112,sangat kecewa ,0
113,brng sesui pesan warna biru dkirm warna merah,0
114,barang sesuai deskripsi sisi fungsional kualitas barang kurang baik mungkin krn harga murah lampu keypad nyala bagi batre longgar harus ganjal sy pakai kertas dapat fungsi batre tahan 1 hari pagi - malam kualitas suara kurang baik klo layan toko cukup baik,0
115,kirim cepat hpx putar musik n tobol2x kurang bgs,0
116,hp mati bisa guna,0
117,barang ga fungsi baik,0
118,produk kecewa kualitas barang jelek,0
119,batre hp cepat habis alias boros,0
120,beli 3 produk 2 biji baterai nya bocor 1 biji kaga di charge mao kirim balik  ongkir susah,0
121,baterai ngedropan tiap 6jam abis padahal cuman stand by pketan isi cuman hp amp cas gk dusbook,0
122,barang yg kirim warna sesuai mesan sangat kualitas,0
123,batere nya cpt habis,0
124,beli 5 unit hp sini ga yg satu yg bgus jual bohong minta solusi,0
125,hp yg datang klo telfon ga suara kecewa sekali,0
126,produk kw mudah rusak,0
127,kirim nya lama sekali,0
128,barang banyak cacat komplain lambat nunggu abis garansi pokok ga usah beli,0
129,barang sampah bukan nokia ini kalo jual yg bener km hpnya suka suka mati2 sendiri,0
130,deskripsi nya tambahin 34 barang replika 34 biar gak kecewa beli nya tombol jemblos kecewa,0
131,cuma tahan 3hari charger nya,0
132,paket bungkus dng rapih dan bgs smoga unit nya bagus dng packaging nya,0
133,baru 3 hari mati mau retur gak direspon bukan nokia,0
134,ada sinyal nya udah nyoba pake kartu apa pun,0
135,sen nya warna biru di kirim warna hitam untung cuma hp murah,0
136,karuan beli produk china aja barange parah enteng kya krupuk suara speaker parah layar kya main bocah,0
137,sesuai apa yg terang mirip kayak hp china,0
138,terima kasih banyak ooo barang gak ori,0
139,kaca retak kaya hp second,0
140,hp bisa keluar suara dering baterai drop jelekkk skali charger ledak,0
141,gak utk nelpon cuma cek pulsa doang mau minta tukar,0
142,hp mati guna pertama dan gak mau nyala,0
143,gan knp d pasang kartu hp gg nyala malah kedap kedip mulu,0
144,jual barang kw terang ga kasih terang barang kw tau gitu ga jadi transfer deh not rekomen ed ,0
145,bluetooth ga ketemu sama hp lain ga nemuin bluetooth hp lain menu musik ga baca lagu yg memori udh di refresh,0
146,batre d pakai abis alias dropp bom pake padahal abis carger jam udah abis,0
147,lumayan bagus walaupun agak telat pngiriman,0
148,batre gak awet barang ringkih,0
149,pesan warna merah  kirim warna biru  sangat kecewa ,0
150,hp ringkih gmpg rusak  hp nokia replika,0
151,koj batre nya boros banget yak ama sinyal gak muncul,0
152,dengar radio earphone fungsi coba pakai handsfree 3 pcs satu ada yg dengar mohon depan nya lebih teliti kirim barang terima kasih,0
153,apa ya rasa kalau hape asa sangat ringkih padahal tahu saya hape nokia iti build qualitynya sangat bagus agak kecewa sih tp moga barang awet,0
154,ringan kaya hp ringan spiker telpon rusakkkk,0
155,batere drop susah charge krn mgkn masalah,0
156,hp nya gampang mati sendiri amp tanya nyata rekondisi cuma ganti sing barang bukan ori nokia charger maupun baterai moga sukses jual,0
157,baterai cepat habis lampu keypad nyala semua,0
158,lama kirim barang,0
159,beda sama nokia 130 yg beli counter hp kwalitas beda jauh,0
160,hati2 chargeran fungsi sama sekali,0
161,kirim sangat lama daerah jakarta,0
162,kecewa berat lebih layak jadi hp main,0
163,hpnya ngerestart teruss nokia cap apa ini sesuai yg harap,0
164,barang nyampe packing rapih tpi kualitas sangat kurang telpn kecil suara kecil padahal volume udah maksimal pasang headset suka mati di sentuh produk blm di recommend,0
165,bos knp jaring ga conect sudah masuk sim card gmn solusi,0
166,kirim lama pake banget pas dateng hp kyk gores layar speaker pecah suara tlp kecil pdhal sdh maksimal settingannya colok headset g kepake g rekomended,0
167,sesuai warna skripsi pakat,0
168,produk sangat buruk tidak buat telpon nyala 10 menit lgsg mati,0
169,maaf barang slot simcard 1 konek hubung jaring baterai cas cepat habis kalau mau retur bs ga ya makasih,0
170,hape bekas hape kw ya  moga usaha berkah  amin,0
171,ga sama gambar,0
172,gan ko gabilang klo kw dikirain harga murah keluar model baru,0
173,warna yg d pesan sesuai,0
174,produk blm muas tetap kerja baik,0
175,hp tiru  sama cuma bentuk sama merek aja isi nya zoonk,0
176,speaker tlponnya rusak loh gan makasih,0
177,hp fungsi sama sekali,0
178,beli 2pc 1 ok 1 lagi suara masuk ada suara keluar ngak ada di cek barang nya kirim,0
179,produk baru minggu udh mati gimana sih,0
180,hp rusakk dagang diam,0
181,bisa nyala hpnya gk mau nyala,0
182,produk hp nya baik bisa nyala saja chargernya bisa rusak pake charger lain bisa mungkin produk masalah saya kecewa,0
183,respon cepat tapi sayang casing bagi belakang yg pecah,0
184,baterai boros cukup pertama akhir makasih gan sukses selalu,0
185,kirim lambat sabtu pagi transaksi selasa malem barunampai lot,0
186,barang jelek casing ga ori speker pecah barang asli samsung apa casingnya yg samsung,0
187,kwalitas menengecewakan langsung rusak,0
188,kecewa hp nya nyata suara nada dering nya aneh layak hp samsung,0
189,cacan cacan taik tffffgfffggggggggggggggg,0
190,hp cpet rusaakkk yg jual toko tanggung jawab sangat kecewa sekali  hati hati toko tidak tanggung jawab,0
191,kurang respon kalau kendala barang nya depan coba layan nya lebih mantap,0
192,barang rekondisi cantum deskripsi,0
193,sangat kecewa hp nya kw n bkn baru kitab,0
194,barang kurang lengkap ada handsfreenya,0
195,kirim lamaaa fitur barang sesuai yang asli,0
196,beli hp jual langsung kirim tempat bude di sumatra beliau baru hari pakai tidak dicharge pas cek tempat servis bilang kalo samsung palsu kecewa mana beli 2 pcs pula,0
197,respond cepat tp sampai lama barang bagus tp retak sangat sayang,0
198,speaker ga fungsi kalo tlp tlp ga kedengeran suara di tlp kadang nada sibuk pdhl hape sedang di guna tlp hape juga nyambung bs kadang ga pdhl pulsa banyak over all kecewa banyak ,0
199,barang kirim salah kirim warna kembali uang 50 rb  lanjut check barang nyata kirim redmi note 4 bukan redmi note 4x harus cpu hio x20 deca core 2 1ghz nyata yang kirim qualcom snapdragon 625 octa core max 2 0 ghz jadi  kadung deh mau di refund  repoooooot,0
200,barang sesuai pesan,0
201,yg hitam suara pecah,0
202,barang sangat jelek batre ga bagus hp ga fungsi baik padahal baru beli,0
203,tampil layar buram gan jauh beda yang original,0
204,kirim cepat sih cuman pertama kali cas batere ga gerak ywdh buat ganjal lemari es sajah,0
205,casanya masa beda terus letuk lgi - - bikin listrik turun,0
206,barang sesuai harap payah,0
207,ukur sesuai hp nya,0
208,barang mau refund hp gak cukup eh malah gak jawab seller alamat lengkap di komplain,0
209,kait tempat hp gagang gak klik ngeri di jalan lepas,0
210,buat naoroh hpnya kecil padahal sen besar malah kasih gin rada kecewa sama layan,0
211,kait patah 1 cari dalem box ga adaa patah arti murni seller kacau harga lumayan tp sia sia beli anggep aja sedekah dah ama sellernya ga berkah,0
212,di powerglue cuma nyantol doang gak ngehold,0
213,nii kok ga bisaa yaa pasang spion motor matic kak lubang nya kecil kurang gede buat spion,0
214,muat pasang spion honda beat pop gampang copot bukan anti copet,0
215,order 2pcs yg satu mati total ga hidup,0
216,lama kirim ,0
217,macet suara nya pecah g enak dengar,0
218,kecewa,0
219,sangat buruk pdahal situ pengirimanya hari nyampenya minggu,0
220,penyek boss micnya penting bunyi kali 2 order kecewa2 tau tunggu pertama dtg dolo ,0
221,barang yg kirim sesuai kirim barang yg hrga murah tp oke uang sisa udah kembali,0
222,tiap kirim cek ada thanks,0
223,barang kirim brng rusak,0
224,barang kosong tp uang kok thanks mungkin depan interaksi sedikit sama konsumen dar tanya apa mau ganti barang tidak kalo krn overload pesan jadi gak ada waktu konfirmasi itu mah resiko jual dar saran lho terima kasih anyway gan,0
225,barang tulis jabra gbr beli putih gold beri warna gold semua barang krg bagus suara,0
226,otg aja bukan hitam tp emas minus parah nih os mana dikonek bkin hp mati,0
227,sen 4 barang yg nyampe 2 walopun refund cash tp harus ad konfirmasi dulu,0
228,gak ad barang mohon baik layan harga beli jangan asal kirim pesan kl barang gak gak sesuai pesan nanya dulu sharusnya masih mau gak,0
229,gunting kuku krg tajam jepit uban jg,0
230,coil brush nya blm kirim,0
231,barang prosuknya cacat milik reta,0
232,ksh 2 krn merekny beda sama terang,0
233,kualitas barang ga masalah tp kan karakter ya sedih kan yg mau krn strawberrynya krn kirim beda jadi cari lagi mungkin yg penting bayar moga salah tidak tutup mungkin depan lebih baik ya moga cek ricek order yg masuk bagaimana yg kirim berkah utk jual maupun beli amin,0
234,segel da kbuka cek kurang gel nya kagak yaaak,0
235,barang yg kirim sesuai pesan gambar padahal udah tanya mana yg rady sudah pesan sesuai yg tera kasih asal aja,0
236,ngga mirip sama foto cuma warna kuning polos semua kecewa,0
237,salah beli jadi ngga kasih bintang 5 jadi ngga pakai barang nya,0
238,kecewa bgt barang yg dtg bukan yg harus udah konfirmasi barang dtg hari kamis abai 2 hari telah keluh chat abai baru jwb suruh kirim balik aja barang yg salah barang yg beli kirim ulang plissssss deh aja dr 2 hari yg lalu mau barang dtg plg lambat tgl 2 sep 2018 masalah barang yg salah ngak mau tgg ongkirnya serah mau gimana cr nya tunggu tgl 2 kalo ngak barang jd milik saya dri depok jagakarsa ngak jauh pakai gojek,0
239,direfund cash amp sdh terima,0
240,kirim barang walaupun kasih ganti uang customer kecewa tidak info belum,0
241,barang sesuai sih pas dinyalain alarm langsung idup batre jg dapet yg udah low bahan ringkih alhasil cuman jd gantung kunci biasa harga segitu ga ngarep lebih lah,0
242,kok 2 biji batreinya dah habis,0
243,pesan kok kirim model ga sesuai gambar,0
244,knp brng yg ft sm yg kirim beda,0
245,sen 4 barang yg nyampe 2 walopun refund cash tp harus ad konfirmasi dulu,0
246,barang dalam ada basah dus rendam banjir,0
247,sesuai pesan kirain pake cas salah lihat kalau yg cas selisih dikit,0
248,barang bagus cm barang yg dtg sesuai minta sen 15 darkbrow dtgnya 8dark brown  7 abu,0
249,pesan no 01 06 kirim malah no 02 03 04 padahal tulis kosong  cancel,0
250,sangat kecewa udah tanya 34 readynya barang malam tgl 2 order subuh 04 55 tangl 3 bukan kirim pagi sore ditgl 3 malah undur terus kirim selalu alas beberapa kali minta cancel ribu alas juga saya kaya gin butuh cepan converter hdmi nya 3 barang lain paksa order toko kota saya jd yg paket ngak kepake percuma presentasi senin td pagi saya order toko hitung saya sabtu minggu sampe kirim tgl 3 sore karena jnt minggu tetap buka dan tau kirim tgl 5 siang baru sampe sekarang buang buang uang disruh cancel otomatis dicancel alas bayak,0
251,sangat kecewa sesal,0
252,speaker retak pojok bawah,0
253,barang ada uang kembali sesuai bayar plus ongkir tetap ubah padahal volume berat justru barang tolak sangat kecewa tidak rekomendasi,0
254,produk di kirim ga kasih ulas dong,0
255,sekali pakai langsung patah gagang kuat,0
256,payah 39,0
257,dus nya nya ancur ketika pengiruman kaya nya cuman asal kirim,0
258,cuman nyala belah,0
259,sama di gambar tpi headset mati belah,0
260,isi nya bagi karat walaupun segel,0
261,mohon di-update stock ada barang jadi kirim,0
262,barang masalah yang sesal adalah seller kurang informatif stock kurang harus diinfolak dahulu bukan langsung kirim malah kirim pemberitahuan jadi haru smencari kurang barang bad service,0
263,produk nyata kosong tp gpp lah uang refund,0
264,kualitas nya kurang bagus,0
265,lapak paling kecewa kirim barang sesuai kirim tripod holder sambung nya di kirim akhir barang jadi tidak guna,0
266,barang sesuai psn an tp knapa kg da dus nya hanya cuma plastik,0
267,barang pecah retak mulus,0
268,barang gada,0
269,pilih 3 pilih warna warna yg pilih sama sekali dinkirim,0
270,pesan 10 biji bagai warna merah biru tua hijau malah kirim warna hitam semua parah,0
271,parah gak sesuai gambar hitam yg kirim warna orange brengsek,0
272,banyak ga lengket produk kurang bagus,0
273,ga nempel sama sekali,0
274,barang cacat apa periksa dulu,0
275,warna nya ga sesuai yg ingin kan,0
276,earphone nya sih dateng ngga sama kabel packing di cek dulu terima kasih ehe,0
277,ga da suara parah bgt kirim ga sesuai ekstimasi,0
278,produk fungsi,0
279,barang bisa pakai kecewaa,0
280,barang rusak suara padahal sdh konek malas komplain krn beli barang,0
281,barang nya yg 1 bs pake n yg 2 gk bs pakai,0
282,pakai jasa jne yes tanggal 6 februari 2019 tanggal 9 februari sama lama kirim biaya lebih murah saya kecewa,0
283,maaf kecewa barang sesuai deskripsi bisa telpon,0
284,bisa guna charge 1x langsung gabisa dipake lagi ditawarin sama toko kembali produk ganti baru syarat ongkir tanggung beli  minta refund pun minta barang rusak kirim kembali saya bayar ongkir capede drpd jual barang ga kualitas mending evaluasi dulu deh biar langgan puas kualitas produk,0
285,barang ada kembali uang,0
286,barang rusak bisa pakai,0
287,beli 3 gbs dpke semua parah,0
288,barang rusak 1 jual ga respon,0
289,earphone fungsi di cash,0
290,headset bluetoothny koneck k handphone tpi bunyi tlg ksih cerah gan wa 085367043379,0
291,padahal udh beli lebih 2 malah kirim 2 aduuh,0
292,masa nunggu minggu baru barang nya datang,0
293,barang bisa cas suara standar aja,0
294,barang bisa charge lumayan kecewa,0
295,cacat produk nya gak nyala padahal baru beli,0
296,bagus baterai nya cpt habis gk papa,0
297,baterai gampang habis padahal cas full,0
298,bisa pake nelpon dengung suara mic nya,0
299,jual respon lambat kalau tanya cara pakai,0
300,seperti jual ecek kondisi barang kirim barang yg terima bisa cas lubang cargernya gak pas konektor,0
301,maaf kecewa barang lubang chargernya geser jadi bisa pakai,0
302,deskripsi tulis ready warna hitam putih terlalu mistis hingga muncul warna biru barang ke tangan beli,0
303,ud komplain ad yg rusak br bilang bijak toko kalau ongkir barang lama n barang ganti d tanggung beli,0
304,pake 1 kali doang langsung bangkar ga di cas sia sia dah beli nya,0
305,barang pakai 2hari mati rusak,0
306,barang sesuai pesan mo retur hrs kirim ongkos retur,0
307,buat telpon suara untuk musik suara kecil bgt,0
308,suara nya rada pecah,0
309,produk rusak sama sekali,0
310,charger fungsi,0
311,emas enggak bagus kardus penyet semua,0
312,barang terima tidak fungsi dicharge tidak,0
313,,0
314,dear handphone tiam ah awal udah senang excited banget response cepat banget walaupun kirim lama packaging rapi banget pake bubble wrap pas coba produk samasekali gak nyala teken sampe berjam2 gak nyala juga charge gak nyala juga awal masih gak mau suudzon ini cuma jadi sampah produk gak pakai boro2 pakai wong hidup kagak kali make sure barang works  it 39 s okay untung harga gak berapa coba kalau sampe ratus ribu buat beli kecewa  asli kecewa banget pas udah buka paket yg packagingnya super oke ini,0
315,barang sampai sma sekali,0
316,minta kirim hitam malah kirim putih padahal udah ksih terang klo kosong cancel,0
317,barang bagus suara jernih baru pakai sekali langsung mati total gimana ini,0
318,sen 2 pcs satu mati total udah masuk pusat resolusi gaada solusi ada beli minta retur ongkir pp tanggung beli  haha lucu  gausah jadi seller ,0
319,barang rusak  mau connect hp return ga,0
320,charger headset warna putih dapat benda asing yg halang lubang akibat carger masuk dalam input charger headset,0
321,barang bagus smg awet dehh ni barang,0
322,sorry ga pakai nyala sekali dicharge 1 pe 2 jam langsung ga nyala,0
323,harus deskripsi warna hapus kirim sesuai stock,0
324,headset nya mati juga pakai respon nya lama di sen warna hitam yang datang warna putih,0
325,headset nya ga nyala,0
326,suara maksimal terlalu kecil dicharge lama maksimal 40 baterai tahan lama,0
327,barang rusak bisa nyala minta retur barang malah ongkir retur tanggung beli kalo mau jual jangan mau cari untung aja perhatiin konsumen,0
328,jual kurang peka komplain cs kecewa langgan,0
329,kirim lama cepat respond promo gratis ongkir laku,0
330,headset bisa conek satu beli 2 yg satu ngga kepake,0
331,sesuai masa merk samsung nya kan dekskripsi kata kosong terus warna sesuai,0
332,kabel charger bisa gimana gan,0
333,suara ngga jernih aga ngerebek,0
334,barang udah connect ga keluar suara,0
335,harga gak pernah bohong baru pakai 1 hari mati gak pakai,0
336,kemas baik sampai kardus earphone peot buka request warna cream jadi hitam,0
337,packing rapi ditrima kondisi bagus charge ga indikator nyala tunggu beberapa hari ga tanda2 fungsi entah salah ikhlasin aja moga jual kasih feedback positive bikin trauma beli barang elektronik online,0
338,warna beda sama yg pes,0
339,paraahhhhhhh minta hitam datang biru gimana sih- - kalo ga cancel ajaa niat jual ga sih fakk kalo bintang 0 gw kasi bintang -5 sekaliannn pffftttttttt jual tu yg jujurr biar berkaah  pfffttttt,0
340,baterai cepat habis  packing kurang rapi,0
341,minta hitam kasi putih,0
342,kualitas barang sangat buruk not rekomen ed,0
343,paket sanpai hancur,0
344,barang fungsi,0
345,baterai cepat habis hanya guna maksimal 1 jam koneksi sering putus sendiri,0
346,baru terima sesuai foto lalu dicharge pas balik2 baterai sdh gelembung sdh rusak total terima kasih,0
347,sudh minta cancel malah kirim barang jg tak nyala di cas,0
348,barang terima kurang jamin,0
349,parahhhhhhh pengirimannnn lamaaaaa satu minggu lewat baru kirim ada konfirmasi sedia barang sangat sangat kecewa kapokkkk pasahal satu camat hadehhhhh,0
350,barang kondisi bisa nyala buku manual ada terima kasih headshet secondnya barangsampah,0
351,maaf kirim 2 sangat buruk 6mati total 4 barang cacad warna hitam 1 pula ganti aja deskripsi bos warna random,0
352,baru 1 hari pake udah ga nyala,0
353,parah nih gan udah 1 rusak kotak beri muas  rusak hancur lalu paksa tutup solatip,0
354,barang nya bagus cuman baru beli minggu lalu sekarang rusak tidak pakai,0
355,yg satu ga nyala  yg satu putus2 suara,0
356,bluetooth nya tak deteksi susah kali,0
357,susah nya gak jelas dan yg 1 lg gak ketemu bluetooth nya,0
358,packing oke respon cepat buyer bilang headset retak jd ga kepake,0
359,thanks,0
360,layan buruk,0
361,sangat kecewa udah tanya 34 readynya barang malam tgl 2 order subuh 04 55 tangl 3 bukan kirim pagi sore ditgl 3 malah undur terus kirim selalu alas beberapa kali minta cancel ribu alas juga saya kaya gin butuh cepan converter hdmi nya 3 barang lain paksa order toko kota saya jd yg paket ngak kepake percuma presentasi senin td pagi saya order toko hitung saya sabtu minggu sampe kirim tgl 3 sore karena jnt minggu tetap buka dan tau kirim tgl 5 siang baru sampe sekarang buang buang uang disruh cancel otomatis dicancel alas bayak,0
362,barang sesuai kes tipu moga lama tokopedia,0
363,barang di jual ga sesuai bener2 tipu,0
364,sesuai foto barang kecewa,0
365,barang kosong kali konfirmasi dl beli jgn lsg refund,0
366,barang cacat beli 2 semua spekernya mati belah,0
367,kemas penyok penyok kualitas suara lumayan tp barang copot2,0
368,produk rusak tidak fungsi,0
369,yg kirim mic-audio not rekomen,0
370,cepat response packaging bagus sayang mungkin untung mata girdernya kurang bagus baru 2 kali giling langsung ngeloss plastik bagi girdernya tidak kuat aus,0
371,invoice ongkir gampade 9pcs 2 25kg aktual timbang nyata 0 8kg 8ons  bulat 1kg  mohon d cek berat dulu deal transaksi sama beli biar beli buang duit sia ,0
372,left left so far suara enakeun tp telinga bukan kiri dua ,0
373,nga tau yach nga dipake cuman mau balikin males,0
374,gan barang sampai tpi card readernya gak di pke,0
375,udah coba bagai merek hp kadang pungsi kadang enggak,0
376,gak compatible sama samsung j7 prime samsung a5 hp coba gan harus tulis gan compatible sama hp apa aja rugi dong beli gak bisa pakai,0
377,barang ada,0
378,hancur barang saat sy terima,0
379,sangat kecewa udah tanya 34 readynya barang malam tgl 2 order subuh 04 55 tangl 3 bukan kirim pagi sore ditgl 3 malah undur terus kirim selalu alas beberapa kali minta cancel ribu alas juga saya kaya gin butuh cepan converter hdmi nya 3 barang lain paksa order toko kota saya jd yg paket ngak kepake percuma presentasi senin td pagi saya order toko hitung saya sabtu minggu sampe kirim tgl 3 sore karena jnt minggu tetap buka dan tau kirim tgl 5 siang baru sampe sekarang buang buang uang disruh cancel otomatis dicancel alas bayak,0
380,timbang sesuai beda 8 kg pas yimbng ulang,0
381,layan paling jelek sejak interaksi dng tokopedia,0
382,barang sdh terima yg satu holdernya potong,0
383,pesan nya hitam datang nya ungu,0
384,main anak2 jgn beli barang,0
385,ga guna material jelek ga dipake krn ga muat hidung tajam kuping,0
386,barang dapat guna yg promosi barang sampah,0
387,kualitas buruk harga kualitas,0
388,stock kosong bisa beri ulas,0
389,jelek kurang teliti baca deskripsi,0
